Model,Covariate,AUC,COR,Species
brt,bioclim_01,0,0,Pan_troglodytes
brt,bioclim_04,0,0.0024,Pan_troglodytes
brt,bioclim_12,0.9861,0.3958,Pan_troglodytes
brt,bioclim_16,0,0,Pan_troglodytes
brt,bioclim_17,0,0.0094,Pan_troglodytes
brt,human,0,0,Pan_troglodytes
brt,bioclim_01,0,0,Pan_troglodytes
brt,bioclim_04,0,0,Pan_troglodytes
brt,bioclim_12,0.9803,0.5086,Pan_troglodytes
brt,bioclim_16,0,0.0258,Pan_troglodytes
brt,bioclim_17,0,0,Pan_troglodytes
brt,human,0,0,Pan_troglodytes
brt,bioclim_01,0,0,Pan_troglodytes
brt,bioclim_04,0,0,Pan_troglodytes
brt,bioclim_12,0.9948,0.5814,Pan_troglodytes
brt,bioclim_16,0,0,Pan_troglodytes
brt,bioclim_17,0,0,Pan_troglodytes
brt,human,0,0,Pan_troglodytes
brt,bioclim_01,0,0,Pan_troglodytes
brt,bioclim_04,0,0,Pan_troglodytes
brt,bioclim_12,0.9873,0.5152,Pan_troglodytes
brt,bioclim_16,0,0.047,Pan_troglodytes
brt,bioclim_17,0,0,Pan_troglodytes
brt,human,0,0,Pan_troglodytes
brt,bioclim_01,0,0,Pan_troglodytes
brt,bioclim_04,0,0,Pan_troglodytes
brt,bioclim_12,0.9828,0.5634,Pan_troglodytes
brt,bioclim_16,0,0,Pan_troglodytes
brt,bioclim_17,0,0,Pan_troglodytes
brt,human,0,0,Pan_troglodytes
cart,bioclim_01,0.0316,0.0058,Pan_troglodytes
cart,bioclim_04,0.5356,0.2542,Pan_troglodytes
cart,bioclim_12,0.8236,0.672,Pan_troglodytes
cart,bioclim_16,0.3348,0.236,Pan_troglodytes
cart,bioclim_17,0.0984,0.0426,Pan_troglodytes
cart,human,0,0,Pan_troglodytes
cart,bioclim_01,0.0176,0.0002,Pan_troglodytes
cart,bioclim_04,0.3615,0.1994,Pan_troglodytes
cart,bioclim_12,0.8938,0.7138,Pan_troglodytes
cart,bioclim_16,0.0997,0.0714,Pan_troglodytes
cart,bioclim_17,0.0712,0.0088,Pan_troglodytes
cart,human,0,0,Pan_troglodytes
cart,bioclim_01,0.0288,0.0294,Pan_troglodytes
cart,bioclim_04,0.26,0.2042,Pan_troglodytes
cart,bioclim_12,0.9542,0.5908,Pan_troglodytes
cart,bioclim_16,0.1424,0.0744,Pan_troglodytes
cart,bioclim_17,0.1591,0.1484,Pan_troglodytes
cart,human,0,0,Pan_troglodytes
cart,bioclim_01,0.0264,0.0108,Pan_troglodytes
cart,bioclim_04,0.3434,0.2196,Pan_troglodytes
cart,bioclim_12,0.9887,0.65,Pan_troglodytes
cart,bioclim_16,0.1449,0.1096,Pan_troglodytes
cart,bioclim_17,0.019,0.0122,Pan_troglodytes
cart,human,0,0,Pan_troglodytes
cart,bioclim_01,0.0451,0.0068,Pan_troglodytes
